Name,Vaccine Type,Details,Primary Developers,Country of Origin,Authorization/Approval
ARCoV,mRNA-based vaccine,"Walvax Biotechnology Co., Ltd.; Abogen Biosciences Co. Ltd.; Yuxi Walvax Biotechnology Co., Ltd.",Phase 3,Xiangfen CDC,
NVX-CoV2373,Nanoparticle vaccine,Novavax,Phase 3,Novavax,
ZyCoV-D,DNA vaccine (plasmid),Zydus Cadila,Phase 3,Zydus Cadila,
Abdala (CIGB 66),Protein subunit vaccine,Center for Genetic Engineering and Biotechnology,Phase 3,Center for Genetic Engineering and Biotechnology,
Unnamed vaccine candidate,Plant-based adjuvant vaccine,Medicago; GSK; Dynavax,Phase 3,Medicago,
VLA2001,Inactivated vaccine,Valneva;UK National Institute for Health Research,Phase 3,Multiple NIHR testing sites,
No name announced,Adjuvanted protein subunit vaccine,"Biological E, Baylor College of Medicine, Dynavax, CEPI",Phase 3,Various,
No name announced,Recombinant protein vaccine,Sanofi; GlaxoSmithKline,Phase 3,Various,
Nanocovax,Recombinant vaccine (Spike protein),Nanogen Biopharmaceutical,Phase 3,Military Medical Academy (Vietnam),
CVnCoV,mRNA-based vaccine,CureVac; GSK,Phase 2b/3,CureVac,
Bacillus Calmette-Guerin (BCG) vaccine,Live-attenuated vaccine,University of Melbourne and Murdoch Children’s Research Institute; Radboud University Medical Center; Faustman Lab at Massachusetts General Hospital,Phase 2/3,University of Melbourne and Murdoch Children’s Research Institute; Radboud University Medical Center; Faustman Lab at Massachusetts General Hospital,
INO-4800,DNA vaccine (plasmid),Inovio Pharmaceuticals; Advaccine,Phase 2/3,"Center for Pharmaceutical Research, Kansas City. Mo.; University of Pennsylvania, Philadelphia",
No name announced,Adenovirus-based vaccine,ImmunityBio; NantKwest,Phase 2/3,,
UB-612,Multitope peptide-based vaccine,Vaxxinity,Phase 2/3,United Biomedical Inc. (UBI),
GRAd-COV2,Adenovirus-based vaccine,ReiThera; Leukocare; Univercells,Phase 2/3,Lazzaro Spallanzani National Institute for Infectious Diseases,
